reply_id,measured_at,hours_since,views,likes,replies,reposts,quotes
18119316691662076,2026-07-30T00:01,58,128,0,0,0,0
18191811808388498,2026-07-30T00:01,66,61,0,0,0,0
18091617185570421,2026-07-30T00:01,71,1532,2,0,0,0
18120905566878565,2026-07-30T00:01,71,1416,7,0,0,0
18414096832151574,2026-07-30T00:31,8,7,0,0,0,0
18126517726737860,2026-07-30T00:31,8,46,4,0,0,0
18113460451862861,2026-07-30T00:31,9,9,0,0,0,0
18010602728930247,2026-07-30T00:31,12,51,3,0,0,0
17931213393124732,2026-07-30T00:31,15,25,0,0,0,0
17983014069028188,2026-07-30T00:31,18,68,0,0,0,0
18089446199418284,2026-07-30T00:31,32,249,2,0,0,0
18027814517665223,2026-07-30T00:31,32,95,0,0,0,0
18091042901115559,2026-07-30T00:31,40,96,1,0,0,0
17886816261437503,2026-07-30T00:31,43,92,1,0,0,0
18057203258774297,2026-07-30T00:31,44,221,6,0,0,0
17874632259623976,2026-07-30T00:31,57,268,2,0,0,0
17870667738567263,2026-07-30T00:31,58,28,1,0,0,0
17937437727323949,2026-07-30T00:31,58,650,6,0,0,0
17982872289045150,2026-07-30T00:31,58,139,0,0,0,0
17871551466652223,2026-07-30T00:31,58,218,1,0,0,0
18119316691662076,2026-07-30T00:31,59,128,0,0,0,0
18191811808388498,2026-07-30T00:31,67,61,0,0,0,0
18091617185570421,2026-07-30T00:31,71,1532,2,0,0,0
18120905566878565,2026-07-30T00:31,71,1416,7,0,0,0
18414096832151574,2026-07-30T01:01,9,7,0,0,0,0
18126517726737860,2026-07-30T01:01,9,48,4,0,0,0
18113460451862861,2026-07-30T01:01,9,10,0,0,0,0
18010602728930247,2026-07-30T01:01,12,53,3,0,0,0
17931213393124732,2026-07-30T01:01,15,27,0,0,0,0
17983014069028188,2026-07-30T01:01,18,68,0,0,0,0
18089446199418284,2026-07-30T01:01,32,249,2,0,0,0
18027814517665223,2026-07-30T01:01,33,95,0,0,0,0
18091042901115559,2026-07-30T01:01,40,96,1,0,0,0
17886816261437503,2026-07-30T01:01,43,92,1,0,0,0
18057203258774297,2026-07-30T01:01,44,221,6,0,0,0
17874632259623976,2026-07-30T01:01,58,268,2,0,0,0
17870667738567263,2026-07-30T01:01,58,28,1,0,0,0
17937437727323949,2026-07-30T01:01,58,650,6,0,0,0
17982872289045150,2026-07-30T01:01,58,139,0,0,0,0
17871551466652223,2026-07-30T01:01,59,218,1,0,0,0
18119316691662076,2026-07-30T01:01,59,128,0,0,0,0
18191811808388498,2026-07-30T01:01,67,61,0,0,0,0
18091617185570421,2026-07-30T01:01,72,1532,2,0,0,0
18120905566878565,2026-07-30T01:01,72,1416,7,0,0,0
18414096832151574,2026-07-30T01:31,9,7,0,0,0,0
18126517726737860,2026-07-30T01:31,9,50,5,0,0,0
18113460451862861,2026-07-30T01:31,10,10,0,0,0,0
18010602728930247,2026-07-30T01:31,13,53,3,0,0,0
17931213393124732,2026-07-30T01:31,16,28,0,0,0,0
17983014069028188,2026-07-30T01:31,19,68,0,0,0,0
18089446199418284,2026-07-30T01:31,33,249,2,0,0,0
18027814517665223,2026-07-30T01:31,33,95,0,0,0,0
18091042901115559,2026-07-30T01:31,41,96,1,0,0,0
17886816261437503,2026-07-30T01:31,44,92,1,0,0,0
18057203258774297,2026-07-30T01:31,45,221,6,0,0,0
17874632259623976,2026-07-30T01:31,58,268,2,0,0,0
17870667738567263,2026-07-30T01:31,59,28,1,0,0,0
17937437727323949,2026-07-30T01:31,59,650,6,0,0,0
17982872289045150,2026-07-30T01:31,59,139,0,0,0,0
17871551466652223,2026-07-30T01:31,59,218,1,0,0,0
18119316691662076,2026-07-30T01:31,60,128,0,0,0,0
18191811808388498,2026-07-30T01:31,68,61,0,0,0,0
18091617185570421,2026-07-30T01:31,72,1532,2,0,0,0
18120905566878565,2026-07-30T01:31,72,1416,7,0,0,0
